item,risk_pass,high_cv_pass,monitor_pass,pred_cv,pred_range_over_mean,cv_n_listings,cv_source,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,base_price,n_listings,avg_discount,median_discount,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,steam_discount_risk_score,risk_collected_at_utc,status,error,sort_by,collected_at_utc,currency,cap_hit,discount_sample_n,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_band_risk%,steam_daily_ret_3d,trade_days,steam_trade_currency,model_ready,has_summary,summary_ready,has_fit,fit_ready,monitor_pass_before_model_ready,tier,liquidity_score,liquidity_rank
SCAR-20 | Bloodsport (Factory New),True,True,True,0.2035,0.6303169215850487,70,summary,True,True,True,True,True,23.0,50,-0.0391100804157042,-0.0483004447246863,74,9.446426633816923,9.515998289430852,0.9053381799711108,1.48,0.0982399114768837,0.0180400364443551,0.0394628799729459,0.129345088161209,0.0894521410579345,-0.1263810296934884,2026-05-22T03:41:22.812601+00:00,ok,,best_deal,2026-04-19T04:56:02.385315+00:00,,True,8,23.76875,22.885,2/2,31.3346,31.4995,28.5177,30.175,33.135,33.32,25.881,34.739,15.32586980526319,-0.026662580447441,7,3,True,True,True,True,True,True,C,0.1412639405204461,463.0
StatTrak™ Dual Berettas | Melondrama (Battle-Scarred),True,True,True,0.139,0.5650229087813977,36,summary,True,True,True,True,True,5.65,28,-0.0410364919321257,-0.0484126030907199,165,7.06613906161673,6.224852858045417,0.9374017722788832,5.892857142857143,-0.0162760416666667,0.0041774727885014,-0.0198126199275336,0.1365817339510258,0.022005294506949,-0.0865170349592687,2026-05-22T03:50:42.524005+00:00,ok,,best_deal,2026-05-11T13:09:07.335906+00:00,,False,8,5.72625,5.50125,1/1->1/1,6.0146,5.981,5.6066,5.839,6.264,6.455,4.618,6.688,14.10567618794267,-0.0220064724919094,7,3,True,True,True,True,True,True,B,0.47560408921933084,285.0
USP-S | Stainless (Minimal Wear),True,True,True,0.2608,4.562302409244522,334,summary,True,True,True,True,True,12.26,50,-0.0488557002777635,-0.0488030234978094,110,14.205638474295183,8.117412935323378,0.9142977203487762,2.2,-0.0504573118901091,-0.0063976559282943,-0.0312045942713314,0.1495327102803739,0.0019694202742865,-0.1199268300645991,2026-05-22T04:19:21.580076+00:00,ok,,best_deal,2026-04-19T08:47:44.903827+00:00,,True,8,13.3925,12.77125,2/2,15.075,14.2785,13.0548,13.7285,15.87,17.3282,11.142,25.009,28.34759535655057,-0.0972069567466218,7,3,True,True,True,True,True,True,C,0.27741635687732347,391.0
StatTrak™ M4A4 | 龍王 (Dragon King) (Field-Tested),True,True,True,0.0716,0.21689244207565325,44,summary,True,True,True,True,True,26.29,47,-0.0436492899514499,-0.049095068825584,51,6.889020496285234,6.946990420861648,0.9311447916019628,1.0851063829787233,0.0323586561363919,0.0110082978181401,,0.0784596469391781,0.0596833684977459,-0.1067366298049308,2026-05-22T04:00:51.962056+00:00,ok,,best_deal,2026-05-11T23:22:41.440978+00:00,,False,8,28.685,27.52625,1/1->1/1,31.9131,32.198,29.981,31.3915,33.59,34.011,17.294,42.701,12.628043029351588,-0.0048788592834271,7,3,True,True,True,True,True,True,C,0.015799256505576207,534.0
StatTrak™ AK-47 | Head Shot (Field-Tested),True,True,True,0.0976,0.33691860995964285,83,summary,True,True,True,True,True,30.41,50,-0.0474237395736371,-0.0493675897734579,193,12.225286809109589,10.854502269116724,0.8915380438997906,3.86,-0.0769128938310829,-0.016710270952304,-0.0375552596465479,0.1711171662125341,0.0,-0.1422360368795585,2026-05-22T04:14:26.650080+00:00,ok,,best_deal,2026-05-11T08:00:24.892901+00:00,,True,8,36.9875,35.3125,1/1,38.6494,38.679,34.4838,36.177,40.902,41.914,31.931,47.253,19.22461926963937,-0.0928368849686467,7,3,True,True,True,True,True,True,B,0.4725836431226766,287.0
Desert Eagle | Firebreathing (Minimal Wear),True,True,True,0.0537,0.4768097095795406,79,summary,True,True,True,True,True,3.71,50,-0.0421159029649595,-0.0498652291105121,2624,13.021058393109207,10.341946821075677,0.8959420289855072,52.48,-0.0694565533275209,-0.0130885505223664,-0.0616023436096807,0.2479700187382885,0.0,-0.1109715432039173,2026-05-22T03:54:33.745041+00:00,ok,,best_deal,2026-04-17T06:56:10.557123+00:00,,True,8,3.86625,3.71,1/1,3.4713,3.45,3.091,3.249,3.701,3.862,2.9,4.341,22.210699161697345,-0.0117283950617285,7,3,True,True,True,True,True,True,A,0.9739776951672863,15.0
M4A4 | The Emperor (Minimal Wear),True,True,True,0.0604,0.421238491613066,128,summary,True,True,True,True,True,77.51,50,-0.0463672348080002,-0.0500932157618471,71,6.820417836318224,15.029979518636402,0.850807689945335,1.42,-0.0027371961877122,-0.0049465062920052,-0.0115229997638405,0.1263227513227514,0.0237764550264551,-0.1889907226747555,2026-05-22T04:09:47.738614+00:00,ok,,best_deal,2026-04-18T00:17:15.809246+00:00,,True,8,81.6,77.98875,1/1,96.9662,97.686,83.112,93.4095,100.023,106.432,75.633,120.82,24.049617289323503,-0.0443786670599265,7,3,True,True,True,True,True,True,C,0.11895910780669144,479.0
M4A4 | Tooth Fairy (Battle-Scarred),True,True,True,0.0549,0.2719394108826595,73,summary,True,True,True,True,True,3.81,50,-0.0421844494872751,-0.0506666666666666,512,4.934927812335021,6.6334611058829065,0.9334254780004606,10.24,-0.0296465222348916,0.0014417356097602,-0.009335372756107,0.0752056404230318,0.0305522914218566,-0.0875037343214433,2026-05-22T03:54:55.800219+00:00,ok,,best_deal,2026-04-18T00:17:36.910146+00:00,,True,8,3.98375,3.8225,1/1,4.3567,4.341,4.052,4.25,4.465,4.576,3.887,5.67,12.027451970528151,-0.0309724436347074,7,3,True,True,True,True,True,True,A,0.7774163568773234,120.0
StatTrak™ Glock-18 | Moonrise (Factory New),True,True,True,0.197,0.6895900245607406,170,summary,True,True,True,True,True,6.55,50,-0.0479301467517863,-0.0522364300287189,96,15.043229048001631,8.214118691017237,0.9076321467098164,1.92,0.0100648920672758,0.0046725070704105,-0.0366662655150865,0.2322669463747216,0.0892880555919758,-0.1207636766329903,2026-05-22T04:16:37.913488+00:00,ok,,best_deal,2026-05-11T18:11:58.330611+00:00,,True,8,7.105,6.78,1/1,8.3393,7.416,6.731,6.9025,8.157,9.161,5.955,50.175,29.139136378353097,-0.0358993806092782,7,3,True,True,True,True,True,True,C,0.23210966542750927,414.0
AWP | Sun in Leo (Field-Tested),True,True,True,0.0938,1.1639540059674127,167,summary,True,True,True,True,True,22.62,50,-0.0404417938828749,-0.0523114839199846,78,4.108152315899877,8.413193037723065,0.9165665364974468,1.56,-0.0208690576088146,-0.0009189681232963,-0.0073158844701908,0.057122629205947,0.0198606401609718,-0.1164089249538685,2026-05-22T03:48:08.850734+00:00,ok,,best_deal,2026-04-17T04:56:14.134014+00:00,,True,8,23.43,22.52125,1/1,26.4109,26.632,24.41,26.166,27.251,28.189,11.538,32.392,14.308486268926842,0.01042921686747,7,3,True,True,True,True,True,True,C,0.16635687732342008,448.0
StatTrak™ Galil AR | Chromatic Aberration (Battle-Scarred),True,True,True,0.1812,0.5292118952400998,22,summary,True,True,True,True,True,6.22,24,-0.0416707467917699,-0.0525473010573177,96,5.478258425387191,9.05079124153244,0.9097027481772296,4.0,0.0906826838558454,0.0124059681365698,0.0210475580022464,0.1063129617192746,0.0853593015446609,-0.1181992591203739,2026-05-22T03:53:53.304226+00:00,ok,,best_deal,2026-05-11T17:07:03.445005+00:00,,False,8,6.26375,6.0125,1/1->1/1,7.1154,7.132,6.488,6.9515,7.3413,7.5605,5.3,9.338,15.0729403828316,0.0184678522571819,7,3,True,True,True,True,True,True,C,0.29925650557620814,376.0
AK-47 | Cartel (Battle-Scarred),True,True,True,0.1578,1.2173162663598447,60,summary,True,True,True,True,True,18.15,50,-0.0446506328370792,-0.0568993952721275,93,4.014064468924041,4.13092963700662,0.958613317043372,1.86,-0.0026232154567925,0.0021713507682134,-0.006160819053195,0.0621111729300491,0.0221536594001316,-0.0768326085445645,2026-05-22T04:04:39.791738+00:00,ok,,best_deal,2026-04-17T00:36:57.912708+00:00,,True,8,18.91125,18.1075,1/1,19.6808,19.644,18.831,19.301,20.091,20.504,17.113,21.584,8.500670704442918,0.0005566801619432,7,3,True,True,True,True,True,True,C,0.22606877323420074,418.0
AWP | The End (Minimal Wear),True,True,True,0.4978,3.0005098507735273,36,summary,True,True,True,True,True,39.82,50,-0.0484320423492854,-0.0569242738589211,279,6.809272672447218,5.208647437830381,0.9476788032391668,5.58,0.0261722341403616,0.0068311077767619,0.0018049179023771,0.1086190419304741,0.0721538645323139,-0.0841539988553101,2026-05-22T04:17:11.089208+00:00,ok,,best_deal,2026-04-17T04:56:54.165794+00:00,,True,8,40.585,38.7175,1/1,32.4998,32.354,30.6612,31.171,33.384,34.6158,18.248,43.161,12.1680748804608,-0.0226788476693616,7,3,True,True,True,True,True,True,B,0.6087360594795539,210.0
Galil AR | Chromatic Aberration (Battle-Scarred),True,True,True,0.222,1.3984461709211988,67,summary,True,True,True,True,True,3.49,50,-0.0497650942461953,-0.058027136355975,231,6.579111944965602,5.603502188868047,0.9437044483538576,4.62,-0.0738207547169811,-0.0034138349833365,-0.0314464153325184,0.1478227654698242,0.0152788388082505,-0.0908053898234945,2026-05-22T04:21:59.239655+00:00,ok,,best_deal,2026-04-17T17:15:10.609915+00:00,,True,8,3.6125,3.44125,1/1,3.9975,3.979,3.755,3.883,4.146,4.281,2.832,5.496,13.158223889931204,-0.0130686102035687,7,3,True,True,True,True,True,True,B,0.5478624535315985,242.0
